,titles,release,certificate,runtime,rates
0,Tenet,(2020),PG-13,150 min,7.8
1,The Gentlemen,(2019),R,113 min,7.9
2,Once Upon a Time... In Hollywood,(2019),R,161 min,7.6
3,One Flew Over the Cuckoo's Nest,(1975),R,133 min,8.7
4,Knives Out,(2019),PG-13,130 min,7.9
5,Harry Potter and the Sorcerer's Stone,(2001),PG,152 min,7.6
6,Moneyball,(2011),PG-13,133 min,7.6
7,The Nightmare Before Christmas,(1993),PG,76 min,8
8,The Shawshank Redemption,(1994),R,142 min,9.3
9,Joker,(2019),R,122 min,8.5
10,Halloween,(1978),R,91 min,7.8
11,Avengers: Endgame,(2019),PG-13,181 min,8.4
12,Parasite,(2019),R,132 min,8.6
13,Hamilton,(2020),PG-13,160 min,8.7
14,Pulp Fiction,(1994),R,154 min,8.9
15,The Wolf of Wall Street,(2013),R,180 min,8.2
16,1917,(2019),R,119 min,8.3
17,The Godfather,(1972),R,175 min,9.2
18,Interstellar,(2014),PG-13,169 min,8.6
19,The Silence of the Lambs,(1991),R,118 min,8.6
20,The Shining,(1980),R,146 min,8.4
21,Jojo Rabbit,(2019),PG-13,108 min,7.9
22,The Dark Knight,(2008),PG-13,152 min,9
23,Inception,(2010),PG-13,148 min,8.8
24,Little Women,(2019),PG,135 min,7.8
25,Fargo,(1996),R,98 min,8.1
26,Mad Max: Fury Road,(2015),R,120 min,8.1
27,Titanic,(1997),PG-13,194 min,7.8
28,Get Out,(I) (2017),R,104 min,7.7
29,Back to the Future,(1985),PG,116 min,8.5
30,Spider-Man: Into the Spider-Verse,(2018),PG,117 min,8.4
31,Thor: Ragnarok,(2017),PG-13,130 min,7.9
32,Coco,(I) (2017),PG,105 min,8.4
33,Ford v Ferrari,(2019),PG-13,152 min,8.1
34,The Lord of the Rings: The Fellowship of the Ring,(2001),PG-13,178 min,8.8
35,Blade Runner 2049,(2017),R,164 min,8
36,Harry Potter and the Goblet of Fire,(2005),PG-13,157 min,7.7
37,Se7en,(1995),R,127 min,8.6
38,The Matrix,(1999),R,136 min,8.7
39,E.T. the Extra-Terrestrial,(1982),PG,115 min,7.8
40,Dazed and Confused,(1993),R,102 min,7.6
41,Fight Club,(1999),R,139 min,8.8
42,Gone Girl,(2014),R,149 min,8.1
43,The Fifth Element,(1997),PG-13,126 min,7.7
44,The Exorcist,(1973),R,122 min,8
45,The Peanut Butter Falcon,(2019),PG-13,97 min,7.6
46,Zodiac,(2007),R,157 min,7.7
47,Edward Scissorhands,(1990),PG-13,105 min,7.9
48,Alien,(1979),R,117 min,8.4
49,Watchmen,(2009),R,162 min,7.6
50,The Goonies,(1985),PG,114 min,7.8
51,Django Unchained,(2012),R,165 min,8.4
52,Gladiator,(2000),R,155 min,8.5
53,Jurassic Park,(1993),PG-13,127 min,8.1
54,Schindler's List,(1993),R,195 min,8.9
55,The Thing,(1982),R,109 min,8.1
56,"Three Billboards Outside Ebbing, Missouri",(2017),R,115 min,8.2
57,The Departed,(2006),R,151 min,8.5
58,Pride & Prejudice,(2005),PG,129 min,7.8
59,Requiem for a Dream,(2000),R,102 min,8.3
60,Inglourious Basterds,(2009),R,153 min,8.3
61,Harry Potter and the Deathly Hallows: Part 2,(2011),PG-13,130 min,8.1
62,Goodfellas,(1990),R,146 min,8.7
63,Avengers: Infinity War,(2018),PG-13,149 min,8.4
64,Call Me by Your Name,(2017),R,132 min,7.9
65,The Irishman,(2019),R,209 min,7.9
66,Ghostbusters,(1984),PG,105 min,7.8
67,Léon: The Professional,(1994),R,110 min,8.5
68,Forrest Gump,(1994),PG-13,142 min,8.8
69,The Dark Knight Rises,(2012),PG-13,164 min,8.4
70,Harry Potter and the Prisoner of Azkaban,(2004),PG,142 min,7.9
71,Dunkirk,(2017),PG-13,106 min,7.9
72,The Prestige,(2006),PG-13,130 min,8.5
73,Prisoners,(2013),R,153 min,8.1
74,The Green Mile,(1999),R,189 min,8.6
75,The Hateful Eight,(2015),R,168 min,7.8
76,Baby Driver,(2017),R,113 min,7.6
77,Psycho,(1960),R,109 min,8.5
78,Saving Private Ryan,(1998),R,169 min,8.6
79,American Psycho,(2000),R,101 min,7.6
80,No Country for Old Men,(2007),R,122 min,8.1
81,Guardians of the Galaxy,(2014),PG-13,121 min,8
82,Sicario,(2015),R,121 min,7.6
83,The Princess Bride,(1987),PG,98 min,8.1
84,American Beauty,(1999),R,122 min,8.3
85,Boogie Nights,(1997),R,155 min,7.9
86,Mission: Impossible - Fallout,(2018),PG-13,147 min,7.7
87,Whiplash,(2014),R,106 min,8.5
88,Star Trek,(2009),PG-13,127 min,7.9
89,Taxi Driver,(1976),R,114 min,8.3
90,V for Vendetta,(2005),R,132 min,8.2
91,The Martian,(2015),PG-13,144 min,8
92,The Lord of the Rings: The Return of the King,(2003),PG-13,201 min,8.9
93,The Social Network,(2010),PG-13,120 min,7.7
94,Casino Royale,(2006),PG-13,144 min,8
95,Hacksaw Ridge,(2016),R,139 min,8.1
96,Home Alone,(1990),PG,103 min,7.6
97,The Fly,(1986),R,96 min,7.6
98,The Big Lebowski,(1998),R,117 min,8.1
99,300,(2006),R,117 min,7.6
